lagrangian/mu_B,eval/J_Q,eval/J_P,eval/J_B,time/fps,lagrangian/avg_J_D,eval/mean_power_mw,eval/mean_coverage,time/total_timesteps,lagrangian/mu_P,eval/mean_stall_sec,eval/mean_psnr_db,physical/mean_coverage,time/iterations,time/time_elapsed,eval/J_D,tiles/enhancement_freq_max,eval/violation,physical/mean_stall_seconds,eval/mean_n_tiles,tiles/enhancement_freq_std,lagrangian/avg_J_P,rollout/ep_rew_mean,eval/feasible,lagrangian/n_episodes,lagrangian/avg_J_B,physical/mean_n_enhanced_tiles,lagrangian/mu_D,physical/mean_power_mW,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
1.0263365032415703,27.66772723860667,10.584349249508264,18.714202729488058,200,16.877561321839007,34.72222222222222,0.9114484763064148,1728,1.0026943332329006,0.4864843328307806,53.15757227177087,0.9264755401207936,1,8,14.697784194099833,0.8483796296296297,29.196336173096157,0.5556674920008545,39.4537037037037,0.1176625040890747,7.5777332931602315,-17.630728,0.0,48,18.53460129662816,39.061342592592595,1.0414439033045975,25.021701388888907,36.0,,,,,,,,,,
1.0521554844264307,26.398525967587485,4.313829518049412,11.632150667576205,217,15.928131671724435,14.236111111111109,0.8697812803316768,3456,1.0046625098676387,0.24087419798089726,52.325615069667485,0.9260423406520133,2,15,7.26847416010834,0.8559027777777778,10.600624827684545,0.5244205847621702,24.574074074074076,0.12221416421137574,7.287270653895221,-17.452767854166666,0.0,48,18.327592473944154,38.613425925925924,1.0805142324839085,23.987268518518604,36.0,10,-0.0592043399810791,0.2,-0.05668434500694275,0.38657407407407407,0.0003,0.08834991817948995,0.057275623,-45.940458354243525,-0.07261476464638555
1.0771375252990025,26.03888436717663,4.008518499048303,8.757612902468852,224,14.32622456047983,13.194444444444445,0.8578730574962868,5184,1.0073398693488218,0.10489068488960042,52.13125454039141,0.9158572058621991,3,23,3.1695934410256843,0.8321759259259259,3.627206343494536,0.47129081420770735,18.472222222222225,0.12316820241095698,7.57094379247323,-17.09093887,0.0,48,17.992816349028764,37.91898148148148,1.1155797938851082,24.97829861111111,36.0,20,-0.0041005611419677734,0.2,-0.08532215654850006,0.5854166666666667,0.0003,0.0724622833646006,0.09459365,-45.760201856825084,-0.1022239397107451
1.101430147130431,25.700195945771753,3.7948347743803263,8.043700215988677,228,13.942449194410186,12.5,0.846266346141865,6912,1.0076361848008977,0.06693029835608048,52.152583041859515,0.9221249451955035,4,30,2.039371568257254,0.8263888888888888,1.7830717842459312,0.45899052147303593,16.944444444444443,0.1220020569500303,6.618526180830371,-16.27626325,0.0,48,17.71704873257143,37.336226851851855,1.1496859168711338,21.824363425925792,36.0,30,0.0018080472946166992,0.2,-0.005859754979610443,0.5500578703703703,0.0003,0.08756539418741509,0.06484171,-45.53755709330241,-0.07999772499832843
1.1249950793277157,25.475392524316494,3.7948347743803263,7.229450935834676,231,13.522488446590806,12.5,0.838538548938434,8640,1.007168138143047,0.02656245931008479,51.909679273245324,0.9188690214620129,5,37,0.8456615242233309,0.8402777777777778,0.5456615242233309,0.44500973129087007,15.203703703703704,0.12962976965316395,6.312781336859788,-15.756763790000003,0.0,48,17.42597287891387,36.732638888888886,1.1827421379876109,20.76099537037021,36.0,40,-0.0022211074829101562,0.2,-0.006309986114501953,0.5314814814814814,0.0003,0.11094739384673259,0.06783776,-45.28120935228136,-0.06736062332918799
1.147768296252117,25.28095249168906,3.7948347743803263,7.3212297987125,233,13.166669133281319,12.5,0.8319943310851059,10368,1.0058168811794945,0.01608162440082279,51.759690796320875,0.9226937012571313,6,44,0.508080758142333,0.8449074074074074,0.208080758142333,0.43331159450509643,15.425925925925926,0.1385102267077547,5.959497214578977,-15.38634761,0.0,48,17.10928676976049,36.06828703703704,1.2149088108208141,19.62528935185155,36.0,50,0.025418460369110107,0.2,-0.005632974207401276,0.5386574074074074,0.0003,0.14632792599775174,0.06546604,-44.955190418384696,-0.06597352104123544
1.1698265840144288,25.278840867270038,3.7948347743803263,6.836966696865157,235,12.830986501435959,12.5,0.8322093843112093,12096,1.0032046427712775,0.0009179629727026247,51.77234132230632,0.9284441446502003,7,51,0.027190936598522484,0.8663194444444444,0.0,0.421993275622538,14.407407407407407,0.14769892223977937,5.4551046367131955,-14.85286208,1.0,48,16.823315104924735,35.4537037037037,1.246236277074404,17.968749999999595,36.0,60,0.04062074422836304,0.2,-0.03589294105768204,0.5289351851851852,0.0003,0.17733050399908312,0.06520272,-44.59414192482277,-0.057259623471785474
1.1910627065828365,25.350509081165413,3.7948347743803263,7.056769957486775,236,12.584319820479736,12.5,0.834578840182148,13824,1.0000836853559485,0.010221032145377828,51.84355655801852,0.9149698022359322,8,58,0.31068062675413577,0.8420138888888888,0.01068062675413578,0.41368047672449393,14.870370370370372,0.14319255002596243,5.25161703386835,-14.656488649999998,0.0,48,16.494449027363043,34.74305555555556,1.2769470766256033,17.310474537036587,36.0,70,0.020918548107147217,0.2,0.007718391716480255,0.5126736111111111,0.0003,0.21396087161092847,0.06471023,-44.2024045308431,-0.04644625807112014
1.2113276414303031,25.443419072015587,3.7948347743803263,7.037036216769308,237,12.263938380159786,12.5,0.8372360549855689,15552,0.9965148627281682,0.015387065970100334,51.87412860804945,0.9168853488886631,9,65,0.4824393731965591,0.8287037037037037,0.18243937319655912,0.40366781580737066,14.814814814814815,0.15038601437365687,5.07247094888789,-14.487946530000002,0.0,48,16.105973938986683,33.945023148148145,1.3068569225760027,16.695601851851432,36.0,80,0.09885615110397339,0.2,-0.03572431951761246,0.5480324074074074,0.0003,0.25479990659212626,0.07917291,-43.74166540922942,-0.050103185381050463
1.2309524675637131,25.43639990431537,3.7948347743803263,6.996731958051792,238,12.026427033595645,12.5,0.8371561879160856,17280,0.9921059600499871,0.013874197597616442,51.89151961995153,0.911138161312649,10,72,0.4261359444865802,0.8674768518518519,0.12613594448658022,0.39599288400613725,14.74074074074074,0.1586960999045374,4.736438928727548,-14.327287680000001,0.0,48,15.849930453363958,33.414351851851855,1.336172990159992,15.610532407406982,36.0,90,0.05597412586212158,0.2,0.2093493789434433,0.4833912037037037,0.0003,0.3053536689943738,0.057697956,-43.26944198608398,-0.04085353662742785
