physical/mean_power_mW,eval/feasible,eval/mean_power_mw,physical/mean_stall_seconds,eval/mean_coverage,eval/mean_n_tiles,physical/mean_n_enhanced_tiles,eval/J_B,lagrangian/mu_B,lagrangian/avg_J_D,tiles/enhancement_freq_std,eval/J_Q,eval/mean_psnr_db,time/total_timesteps,lagrangian/n_episodes,rollout/ep_rew_mean,physical/mean_coverage,eval/mean_stall_sec,lagrangian/avg_J_P,eval/violation,time/time_elapsed,lagrangian/avg_J_B,eval/J_P,eval/J_D,tiles/enhancement_freq_max,rollout/ep_len_mean,time/fps,lagrangian/mu_D,lagrangian/mu_P,time/iterations,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
25.021701388888907,0.0,34.72222222222222,0.5556674920008545,0.9114484763064148,39.4537037037037,39.061342592592595,18.714202729488058,1.0278365032415704,16.877561321839007,0.1176625040890747,27.66772723860667,53.15757227177087,1728,48,-17.630728,0.9264755401207936,0.4864843328307806,7.5777332931602315,32.47633617309616,12,18.53460129662816,10.584349249508264,14.697784194099833,0.8483796296296297,36.0,134,1.0418939033045975,1.0089443332329007,1,,,,,,,,,,
23.987268518518604,0.0,14.236111111111109,0.5244205847621702,0.8697812803316768,24.574074074074076,38.613425925925924,11.632150667576205,1.0551554844264308,15.928131671724435,0.12221416421137574,26.398525967587485,52.325615069667485,3456,48,-17.500291447916666,0.9260423406520133,0.24087419798089726,7.287270653895221,11.694454345733957,20,18.327592473944154,4.313829518049412,7.26847416010834,0.8559027777777778,36.0,172,1.0814142324839087,1.0171625098676387,2,-45.940458354243525,0.2,10,0.0003,0.057275623,0.08834991817948995,-0.05668434500694275,-0.07261476464638555,-0.0592043399810791,0.38657407407407407
24.898726851851862,0.0,13.078703703703704,0.4714334797312215,0.8575680030852452,18.083333333333332,37.898726851851855,8.56863400534081,1.081612402348948,14.329228281667179,0.12324088811819138,26.039225243809625,52.14926722123076,5184,48,-17.21444332,0.9156850317134783,0.09848171908220384,7.546295714988573,4.020478070358117,27,17.982767169006898,3.968893913635803,2.971844065017308,0.8310185185185185,36.0,190,1.1169373031880767,1.02602824915511,3,-45.75936851501465,0.2,20,0.0003,0.097672895,0.07271127262049251,-0.08360401540994644,-0.10223853150382638,-0.004093289375305176,0.5863425925925926
21.809895833333204,0.0,12.5,0.45907298846284966,0.8449387853779763,16.833333333333332,37.304398148148145,7.98834502600987,1.1073705070795725,13.946840431889933,0.12224608374640067,25.664403461654206,52.13309591837709,6912,48,-16.474019330000004,0.9221216591529173,0.06335682402220734,6.6127908915442,2.4012511663104967,34,17.703241892249824,3.7948347743803263,1.9329061403006274,0.8287037037037037,36.0,201,1.1515044042678015,1.0325602263839706,4,-45.531318480880174,0.2,30,0.0003,0.06582757,0.08831863727558542,-0.010105546563863754,-0.08055752943511363,0.0006753802299499512,0.5517939814814815
20.746527777777615,0.0,12.5,0.4439978700223481,0.8368862129163919,15.0,36.664351851851855,7.132021740837551,1.132353092057446,13.48987228450126,0.13049631681161064,25.422035364432787,51.91500495097006,8640,48,-15.997377870000003,0.91883205749953,0.020930836346331277,6.308590055277265,0.5547305094224446,41,17.393033991149416,3.7948347743803263,0.6747305094224446,0.8431712962962963,36.0,208,1.1849290849790548,1.0383317015221638,5,-45.2690348872432,0.2,40,0.0003,0.07137404,0.11157480889448414,-0.0067147016525268555,-0.06850344962612898,-0.0014510154724121094,0.5381365740740741
19.61082175925895,0.0,12.5,0.4319533730734349,0.834784167468349,14.648148148148147,35.98784722222222,6.961416266218628,1.156530288808442,13.126390223727462,0.13853530351012874,25.360451256760772,51.86653941210219,10368,48,-15.654177220000001,0.9226142018353586,0.0105613581498767,5.956996922348458,0.22898496096401172,48,17.070878700398456,3.7948347743803263,0.3489849609640117,0.8472222222222222,36.0,213,1.2174450605383735,1.0432241938280349,6,-44.93702843277543,0.2,50,0.0003,0.07167948,0.14721049713315787,-0.005295939743518829,-0.06653130569115832,0.024575531482696533,0.5372106481481481
17.64322916666626,0.0,12.5,0.42188286175730105,0.8341484464378425,14.472222222222221,35.40277777777778,6.873135636224087,1.1800260033009726,12.826105509928288,0.1472615983519828,25.347445541427287,51.76914281576186,12096,48,-15.143681120000002,0.9283288833254025,0.004009498065290382,5.35633516856555,0.011369664367782,55,16.79828579701224,3.7948347743803263,0.131369664367782,0.8668981481481481,36.0,217,1.2492103243131942,1.0466150317494487,7,-44.567194324069554,0.2,60,0.0003,0.06800805,0.178472695885985,-0.0334416963160038,-0.059677912791570024,0.04123878479003906,0.5390625
16.941550925925483,0.0,12.5,0.41320856460302763,0.8392333741257177,14.972222222222223,34.63194444444444,7.11259631031423,1.202629463875324,12.56975546277822,0.14392327643493333,25.509951829214014,51.898245574994185,13824,48,-14.94494281,0.9153305939460711,0.0200982195775333,5.13963906669761,0.5124572007712065,62,16.44138422974063,3.7948347743803263,0.6324572007712065,0.84375,36.0,220,1.2803347129701397,1.0494641294161928,8,-44.13790555883337,0.2,70,0.0003,0.06980393,0.2191137152482514,0.005190841853618622,-0.047105087826235424,0.019425511360168457,0.522800925925926
16.283275462962546,0.0,12.5,0.404463979477377,0.8376966795226058,14.685185185185185,33.902199074074076,6.978933315782986,1.2243426851402868,12.287949772367059,0.14989087032803258,25.45983573051559,51.876362518908024,15552,48,-14.823382509999998,0.9172666379455288,0.015038515312675797,4.946757352619218,0.3564639426911646,69,16.085288505985112,3.7948347743803263,0.4764639426911646,0.8292824074074074,36.0,222,1.3107545874010573,1.0518310227977408,9,-43.686693869696725,0.2,80,0.0003,0.07139302,0.259471558738086,-0.04344867169857025,-0.049496623589139845,0.09789073467254639,0.5354745370370371
15.248842592592165,0.0,12.5,0.39656745552097117,0.8363679994300132,14.574074074074074,33.335648148148145,6.918202422324079,1.2453746036266635,12.044276335395546,0.15895295418607253,25.41248157201559,51.87220853095166,17280,48,-14.757534420000002,0.9110483433534372,0.011033068666439145,4.626329327711737,0.21899809510026896,76,15.812767394550713,3.7948347743803263,0.33899809510026896,0.8686342592592593,36.0,224,1.3405652782395463,1.05339684611702,10,-43.24093253524215,0.2,90,0.0003,0.05438299,0.31837687444079804,0.2313680499792099,-0.03849916420532046,0.05552327632904053,0.4769675925925926
