rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
1,0,32.4763,14.6978,10.5843,18.7142,1.0418,1.0089,1.0277,0.9114,38.96,-17.485,53.158,
2,0,28.8088,14.1022,7.7742,18.4524,1.0838,1.0178,1.0553,0.9248,38.84,-18.247,53.334,0.05155
3,0,29.0259,14.5921,7.8062,18.1475,1.1256,1.0267,1.083,0.9211,38.96,-19.705,53.252,5.42461
4,0,28.7042,13.9996,8.2112,18.0135,1.1674,1.0356,1.1106,0.9181,38.85,-21.199,53.14,8.894747
5,0,28.2648,13.1979,8.351,18.2359,1.2088,1.0451,1.1382,0.918,38.89,-22.862,53.236,2.594509
6,0,29.6653,16.5848,6.2198,18.3806,1.2509,1.0536,1.1657,0.9199,38.76,-24.212,53.386,6.036777
7,0,29.438,13.3501,9.2935,18.3144,1.2926,1.0624,1.1933,0.9158,38.9,-25.446,53.21,3.274861
8,0,28.1088,13.2852,8.4767,17.8669,1.3339,1.0713,1.2208,0.9133,38.77,-26.994,53.203,6.681851
9,0,30.0516,13.9156,9.1955,18.4605,1.3756,1.0799,1.2484,0.9235,38.86,-28.515,53.52,5.016576
10,0,29.8546,14.9786,8.184,18.212,1.4167,1.0892,1.276,0.9224,38.85,-30.035,53.413,2.330083
11,0,28.7303,13.1099,9.7188,17.4215,1.4577,1.0982,1.3034,0.9302,38.66,-31.35,53.68,2.787694
12,0,29.8576,13.3579,9.9404,18.0793,1.4994,1.1066,1.3305,0.9335,38.48,-32.587,53.722,2.48038
13,0,28.384,12.8941,9.3059,17.7041,1.5402,1.1155,1.3579,0.9209,38.7,-34.107,53.396,5.158907
14,0,29.2397,13.2129,9.4621,18.0848,1.5809,1.1245,1.3852,0.925,38.6,-35.529,53.554,7.508357
15,0,29.287,12.8322,10.0401,17.9346,1.6223,1.1332,1.4129,0.9172,38.94,-37.282,53.279,2.591495
16,0,27.5061,12.815,8.7858,17.4253,1.6624,1.1427,1.4404,0.917,38.76,-38.546,53.18,6.360859
17,0,26.8869,12.5458,8.5791,17.2819,1.7033,1.1516,1.4679,0.9176,38.82,-39.754,53.193,3.37625
18,0,25.8864,11.9692,8.7245,16.7128,1.7436,1.1612,1.4953,0.9124,38.7,-41.429,53.18,7.930276
19,0,26.0639,11.9635,9.0343,16.5861,1.784,1.1703,1.5225,0.914,38.46,-42.847,53.203,3.082283
20,0,25.715,12.0879,8.6044,16.5427,1.8236,1.18,1.5496,0.9172,38.47,-43.887,53.224,3.178633
21,0,26.3512,12.1083,8.9635,16.7995,1.864,1.189,1.5766,0.913,38.35,-45.171,53.018,5.068518
22,0,25.6325,11.8409,9.0293,16.2823,1.9043,1.199,1.6039,0.9128,38.6,-46.953,53.053,4.799256
23,0,25.931,11.7743,9.6638,16.013,1.9447,1.2084,1.631,0.9195,38.4,-48.336,53.244,3.938218
24,0,25.3976,11.7522,9.2052,15.9602,1.9844,1.218,1.6581,0.9166,38.5,-49.454,52.987,2.710028
25,0,25.9595,12.1603,8.7521,16.5671,2.0234,1.2277,1.685,0.9118,38.25,-50.417,52.85,3.862072
26,0,24.9494,11.994,8.2864,16.189,2.0631,1.2372,1.7121,0.9028,38.38,-51.837,52.66,2.739914
27,0,24.008,11.8493,7.6684,16.0103,2.1025,1.2467,1.7389,0.9005,38.26,-53.367,52.747,3.057649
28,0,24.4805,11.8925,7.8843,16.2238,2.1417,1.2564,1.7658,0.9043,38.28,-54.523,52.797,2.280001
29,0,23.4602,11.3999,7.8618,15.7184,2.1806,1.2657,1.7929,0.895,38.39,-55.569,52.64,3.134231
30,0,23.1474,10.8557,8.3341,15.4776,2.2195,1.2756,1.8199,0.8955,38.33,-56.805,52.635,3.166081
31,0,24.5534,11.56,8.317,16.1965,2.2587,1.285,1.847,0.8928,38.45,-58.208,52.672,2.720547
32,0,24.7077,11.5223,8.4672,16.2382,2.2972,1.2944,1.8738,0.8941,38.25,-59.377,52.616,3.913537
33,0,24.0043,11.2591,8.2772,15.9879,2.3345,1.305,1.9009,0.894,38.42,-60.128,52.604,2.390715
34,0,23.4359,10.9011,8.0747,15.9801,2.3725,1.3151,1.9281,0.8862,38.51,-61.602,52.427,3.400983
35,0,23.163,11.3688,7.109,16.2052,2.4099,1.3254,1.9552,0.8942,38.46,-62.973,52.671,2.346533
36,0,23.17,11.315,7.2666,16.1084,2.4478,1.3353,1.9822,0.9005,38.32,-64.055,52.765,2.463106
37,0,22.1939,11.8808,5.6798,16.1532,2.4852,1.3451,2.009,0.897,38.21,-65.296,52.664,2.499709
38,0,22.238,11.8361,5.8491,16.0727,2.523,1.355,2.0359,0.8985,38.29,-66.832,52.716,2.641634
39,0,21.8309,11.5557,6.0081,15.7871,2.5593,1.3651,2.0626,0.8941,38.03,-67.305,52.624,0.655434
40,0,22.5948,12.0292,5.8757,16.2099,2.5972,1.3748,2.0896,0.8972,38.37,-68.658,52.667,4.103133
41,0,22.3819,12.1773,5.4504,16.2742,2.6347,1.3848,2.1165,0.893,38.32,-70.732,52.629,3.905375
42,0,22.1518,12.2579,5.1569,16.2569,2.6719,1.3953,2.1436,0.892,38.43,-71.887,52.613,3.920169
43,0,21.5011,11.5715,5.692,15.7577,2.7087,1.4054,2.1704,0.8988,38.22,-72.657,52.803,2.598916
44,0,21.2349,11.3053,5.9762,15.4733,2.7462,1.4159,2.1973,0.8934,38.26,-74.25,52.636,2.493569
45,0,19.7336,10.7195,5.6519,14.8821,2.7829,1.4263,2.2239,0.8889,38.02,-75.463,52.516,2.176432
46,0,20.6098,10.6072,6.4258,15.0968,2.82,1.4367,2.2506,0.8907,38.12,-76.447,52.525,3.359858
47,0,20.0486,10.2626,6.3864,14.9195,2.8566,1.4468,2.2771,0.8889,37.91,-77.587,52.492,2.309996
48,0,20.4549,10.6459,6.2109,15.1181,2.8934,1.4571,2.3039,0.889,38.2,-78.832,52.485,3.081791
49,0,19.6235,10.2507,6.1554,14.7374,2.93,1.4676,2.3306,0.8866,38.09,-80.17,52.399,1.498757
50,0,19.0637,10.055,5.9792,14.5495,2.9663,1.4777,2.3572,0.8817,38.01,-81.097,52.335,2.45392
51,0,20.0686,9.9538,7.0219,14.6129,3.0021,1.4882,2.3838,0.882,37.98,-81.982,52.383,1.945606
52,0,20.1544,10.1635,6.7385,14.7724,3.0375,1.4987,2.4104,0.8847,37.99,-82.589,52.364,3.004371
53,0,19.3367,10.2331,6.0352,14.5883,3.0725,1.5094,2.437,0.8882,38.0,-83.496,52.415,0.951835
54,0,19.3639,10.1898,6.0702,14.624,3.1075,1.52,2.4633,0.8909,37.78,-84.167,52.46,1.794551
55,0,19.4892,10.2225,6.1112,14.6755,3.1423,1.5308,2.4897,0.888,37.89,-85.061,52.405,1.739804
56,0,19.3929,10.2189,6.0391,14.6549,3.1783,1.5411,2.5164,0.8895,38.04,-87.403,52.398,2.543284
57,0,18.4834,10.3452,5.2638,14.3944,3.2135,1.5517,2.5427,0.8901,37.84,-88.795,52.462,0.663579
58,0,18.5259,10.2528,5.4348,14.3583,3.2489,1.5622,2.5694,0.8948,38.04,-89.655,52.513,1.536421
59,0,17.2673,9.555,5.4277,13.8046,3.2841,1.5719,2.5958,0.8937,37.91,-90.543,52.553,1.070003
60,0,17.1092,9.625,5.2074,13.7968,3.3192,1.5817,2.6221,0.8919,37.7,-91.188,52.522,3.090079
61,0,17.3252,9.9429,4.9506,13.9518,3.3536,1.5916,2.6483,0.8902,37.73,-91.98,52.488,2.327174
62,0,17.637,10.0198,5.1777,13.9594,3.3881,1.602,2.6745,0.8859,37.65,-92.664,52.448,1.601326
63,0,17.7238,9.7681,5.675,13.8007,3.422,1.6121,2.7006,0.8873,37.58,-93.275,52.469,1.109111
64,0,17.7467,9.86,5.6068,13.7999,3.456,1.6223,2.7267,0.8897,37.63,-94.143,52.495,0.494869
65,0,17.566,9.7434,5.6441,13.6984,3.4897,1.6328,2.7528,0.8906,37.57,-95.405,52.513,20.53079
66,0,17.6296,9.7313,5.7123,13.706,3.524,1.643,2.779,0.8919,37.68,-96.957,52.509,11.217455
67,0,16.7983,9.3024,5.604,13.412,3.5585,1.653,2.8052,0.8863,37.65,-98.215,52.451,5.446484
68,0,16.7919,9.3337,5.5751,13.4031,3.5924,1.6636,2.831,0.8867,37.4,-99.443,52.456,25.093223
69,0,16.4669,9.0692,5.6433,13.2743,3.6261,1.6744,2.8569,0.8853,37.4,-100.268,52.449,3.942434
70,0,16.5385,9.1467,5.5731,13.3387,3.66,1.6848,2.8829,0.8859,37.51,-101.187,52.443,17.152442
71,0,15.2326,8.6586,5.2131,12.8809,3.6935,1.6954,2.9089,0.8854,37.55,-102.486,52.419,3.386647
72,0,15.1416,8.5542,5.2904,12.817,3.7278,1.7061,2.9351,0.8835,37.7,-104.072,52.39,11.701581
73,0,15.5524,8.585,5.4446,13.0428,3.7611,1.7167,2.9611,0.8807,37.47,-104.968,52.371,5.521922
74,0,15.6282,8.5495,5.5431,13.0556,3.7947,1.7271,2.9871,0.8818,37.52,-105.474,52.364,16.626992
75,0,15.5319,8.5343,5.5307,12.9868,3.8284,1.7376,3.0131,0.8849,37.53,-106.919,52.407,4.52609
76,0,15.8675,8.6854,5.5991,13.103,3.8621,1.7487,3.0395,0.8874,37.83,-108.711,52.442,18.120129
77,0,15.6448,8.5877,5.5121,13.065,3.8957,1.7593,3.0654,0.892,37.46,-109.908,52.486,3.574341
78,0,16.0083,8.6595,5.6268,13.2421,3.9296,1.77,3.0915,0.89,37.57,-110.663,52.424,16.075503
79,0,16.5946,8.8829,5.828,13.4037,3.9634,1.7803,3.1175,0.8914,37.45,-112.068,52.503,5.331219
80,0,16.3079,8.8376,5.6865,13.3038,3.9971,1.7911,3.1439,0.8884,37.91,-113.693,52.454,17.115882
81,0,16.0145,8.6536,5.7589,13.122,4.0308,1.8015,3.1702,0.8808,37.69,-114.643,52.358,4.58499
82,0,15.6712,8.4631,5.7409,12.9872,4.0643,1.8121,3.1961,0.8823,37.49,-115.344,52.357,13.897759
83,0,14.8312,7.8882,5.8742,12.5888,4.0972,1.8233,3.222,0.8819,37.4,-116.045,52.306,3.862804
84,0,14.7928,8.1419,5.4564,12.7145,4.1305,1.834,3.248,0.8793,37.52,-117.142,52.322,10.859559
85,0,13.835,8.3561,4.3472,12.6517,4.1639,1.8447,3.2738,0.8747,37.4,-118.236,52.288,2.883531
86,0,14.9571,8.4703,5.1351,12.8717,4.1976,1.8555,3.3,0.8763,37.69,-120.019,52.297,13.609127
87,0,13.2224,7.0781,5.6832,11.9811,4.2302,1.8665,3.3255,0.8779,37.12,-120.429,52.366,3.705965
88,0,14.2164,7.5342,5.7768,12.4254,4.2635,1.8772,3.3514,0.8787,37.41,-121.195,52.384,11.819646
89,0,14.2066,6.9357,6.5414,12.2495,4.2967,1.8874,3.3772,0.8794,37.32,-122.698,52.403,4.937957
90,0,14.2681,7.0041,6.4738,12.3103,4.3305,1.8985,3.403,0.8771,37.39,-124.777,52.448,9.250929
91,0,14.0188,6.7081,6.5876,12.2431,4.3638,1.9096,3.4289,0.8745,37.38,-126.579,52.419,4.076967
92,0,15.0437,7.2365,6.805,12.5223,4.3968,1.9209,3.4547,0.8741,37.35,-126.804,52.401,12.809037
