physical/mean_stall_seconds,eval/mean_n_tiles,time/fps,eval/J_B,eval/J_D,eval/violation,tiles/enhancement_freq_max,lagrangian/avg_J_P,time/time_elapsed,eval/mean_power_mw,lagrangian/mu_B,lagrangian/avg_J_D,time/total_timesteps,lagrangian/mu_P,rollout/ep_len_mean,eval/mean_coverage,physical/mean_power_mW,tiles/enhancement_freq_std,eval/feasible,eval/J_Q,physical/mean_coverage,eval/mean_psnr_db,physical/mean_n_enhanced_tiles,lagrangian/n_episodes,eval/mean_stall_sec,lagrangian/avg_J_B,eval/J_P,time/iterations,rollout/ep_rew_mean,lagrangian/mu_D,train/clip_fraction,train/explained_variance,train/pds_value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl
0.5541977422415153,39.4537037037037,202,18.714202729488058,14.697784194099833,31.876336173096156,0.8391203703703703,7.572584222061994,8,34.72222222222222,1.0262128526949128,16.835226819252274,1728,1.008931460555155,36.0,0.9114484763064148,24.920428240740723,0.11795318440941768,0.0,27.66772723860667,0.9265257694033097,53.15757227177087,38.964699074074076,48,0.4864843328307806,18.48514107796508,10.584349249508264,1,-17.485188458333333,1.0417880670481308,,,,,,,,,,,
0.5575763244300828,38.87962962962963,200,18.452351041631008,14.102219954533277,28.20878717157378,0.8506944444444444,7.545143589486252,17,25.462962962962962,1.052285836087695,16.939783687786942,3456,1.0177943195288706,36.0,0.9247575488649362,24.891493055555515,0.1206531189120362,0.0,28.09959073420899,0.9277278638412894,53.333822481324425,38.8431712962963,48,0.46387423042662235,18.429193357112897,7.774216175409492,2,-18.230761010416668,1.083837526267598,0.23859953703703704,-0.0006874799728393555,0.051549906649247364,0.0003,31.928831100463867,-0.03967149816625924,0.2,-45.95183467158565,113.20324048642759,10,0.022091648
0.5536656854459678,38.166666666666664,178,18.113953805668086,14.561684599802375,28.36187655106508,0.8350694444444444,7.574954935599966,29,25.694444444444446,1.0784954725161142,16.809633825500885,5184,1.0267317068678705,36.0,0.9201228020449034,24.927662037037006,0.11874207763596173,0.0,27.957943213246722,0.923648727183103,53.21429281620566,38.958333333333336,48,0.47881864080413655,18.48385457136773,7.80623814559462,3,-19.65726592,1.1255616108313504,0.05260416666666667,-0.03634655475616455,5.42473062409295,0.0003,1231.5208740234375,-0.019176434014958364,0.2,-45.94046287536621,2602.5256144205728,20,0.010466633
0.5536062175434042,37.96296296296296,168,18.006459432687624,13.824045109628623,28.132775212843132,0.828125,7.563266495043973,40,27.662037037037038,1.1045811858329924,16.84555950663579,6912,1.0356398731054806,36.0,0.920350603710849,24.949363425925927,0.11441460319259197,0.0,27.97788799636018,0.9239340054250457,53.18673965963732,38.851851851851855,48,0.4543865799737227,18.434285326751233,8.422270670526883,4,-21.11707420999999,1.16737550959794,0.090625,-0.014622211456298828,8.895588154262967,0.0003,2243.664306640625,-0.028084529203328268,0.2,-45.92703304997197,5312.773469147859,30,0.011700336
0.5496477156716792,38.361111111111114,163,18.186959664594927,13.133186042151975,27.53580745998831,0.8368055555555556,7.807393422765561,52,27.430555555555557,1.130705888412852,16.679752313789766,8640,1.0451583566623945,36.0,0.9170381618082265,25.701678240740733,0.11364788387580656,0.0,27.842718848426387,0.92208169139971,53.208733159304664,38.886574074074076,48,0.43299886065974946,18.44988103194385,8.335661753241407,5,-22.7507897,1.2087748903824143,0.12604166666666666,-0.008156180381774902,2.5960883492672884,0.0003,1218.9041748046875,-0.029733807555641287,0.2,-45.9094832667598,2415.0049858940974,40,0.017891103
0.5587605649864928,38.574074074074076,160,18.291436732779776,16.187174040117554,28.87687070027177,0.8559027777777778,7.389514927732353,64,21.527777777777775,1.1566742654435829,16.977784934187145,10368,1.0536321439817253,36.0,0.9217945614183058,24.348958333333346,0.1216927160942873,0.0,27.993504806055938,0.9285106374727219,53.47821959205624,38.748263888888886,48,0.5315878700774852,18.387350812292347,6.518259927374442,6,-24.079589820000002,1.2509193527178821,0.18310185185185185,-0.007964015007019043,6.039451476379677,0.0003,2050.8515625,-0.035880282014194465,0.2,-45.88672212671351,3758.162062355324,50,0.019385602
0.5524587262935386,38.24074074074074,157,18.149440828062655,13.331095814440724,28.082562339710446,0.8686342592592593,7.5484845175446535,76,28.819444444444446,1.18282745430226,16.76001301462832,12096,1.062503355275587,36.0,0.9133522551862656,24.833622685185166,0.12250764531136665,0.0,27.741230384599998,0.9319597731133562,53.09866970029128,38.90277777777778,48,0.4386421753277045,18.461275543470883,8.722025697207066,7,-25.286884689999997,1.292519385254453,0.16168981481481481,-0.01439964771270752,3.268921254740821,0.0003,688.4935302734375,-0.027792524373917667,0.2,-45.87176455744991,1698.8259684244792,60,0.020933239
0.5472553996421967,37.74074074074074,156,17.91028343139909,13.311097768035191,27.663673557765815,0.8570601851851852,7.556063544563274,88,28.240740740740744,1.2088410628127562,16.637999668383546,13824,1.071393514136995,36.0,0.9166191267573679,24.934895833333343,0.11674762283820543,0.0,27.852027066704945,0.9223897526519765,53.2596824447956,38.77835648148148,48,0.4382151098887379,18.405443404198394,8.562292358331534,8,-26.777557370000004,1.3338143844254118,0.22268518518518518,-0.006500959396362305,6.70176574477443,0.0003,1605.056884765625,-0.037192200414008565,0.2,-45.84707476298014,3451.0326786747687,70,0.022934692
0.5516021245113194,38.77777777777777,154,18.388665843461126,13.470775688485352,29.560595271366957,0.8159722222222222,7.468851627144545,100,32.40740740740741,1.2349149489510487,16.76281097090643,15552,1.0800656432048563,36.0,0.9176922494797429,24.645543981481502,0.11215132764979537,0.0,27.8552412347713,0.9260135795482435,53.407746386786435,38.842592592592595,48,0.44392337115293556,18.429554455317007,9.82115373942048,9,-28.23112821,1.3754214118526777,0.2515046296296296,-0.040753722190856934,4.985362776120504,0.0003,643.0717163085938,-0.03723309066284586,0.2,-45.82905945954499,1377.85069354022,80,0.033043176
0.5433661682786701,38.14814814814815,153,18.09585562457798,15.033670767563509,29.276964615821733,0.8564814814814815,7.701036587985087,112,27.430555555555554,1.261000609292353,16.52581442287587,17280,1.0893182346748191,36.0,0.9199813286218328,25.368923611111146,0.1171436672624983,0.0,27.969588779742605,0.9202573827115218,53.25046057926743,38.845486111111114,48,0.4924701045739675,18.434264136521662,8.267438223680246,10,-29.71109645,1.4164359479098674,0.2666087962962963,-0.004432320594787598,2.3176562161357315,0.0003,1103.0560302734375,-0.04003751955374524,0.2,-45.81432914733887,2348.878228985822,90,0.024131253
