rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
1,0,29.3963,14.6978,10.5843,18.7142,1.0418,1.0027,1.0262,0.9114,38.96,-17.485,53.158,
2,0,25.7288,14.1022,7.7742,18.4524,1.0839,1.0053,1.0523,0.9248,38.84,-18.203,53.334,0.05155
3,0,25.8819,14.5617,7.8062,18.114,1.1257,1.008,1.0785,0.9201,38.96,-19.578,53.214,5.424935
4,0,25.9534,13.925,8.6182,18.0103,1.1676,1.0106,1.1046,0.9193,38.85,-20.986,53.168,8.895548
5,0,25.0773,13.1932,8.2695,18.2147,1.209,1.0139,1.1307,0.9163,38.88,-22.561,53.172,2.597018
6,0,26.7676,16.3303,6.7369,18.3005,1.2512,1.0162,1.1567,0.9218,38.75,-23.825,53.482,6.037472
7,0,26.093,13.2131,9.2857,18.1942,1.2929,1.0187,1.1828,0.9121,38.9,-24.97,53.048,3.26647
8,0,25.1108,13.2484,8.5874,17.875,1.3342,1.0214,1.2088,0.9166,38.79,-26.43,53.247,6.695214
9,0,27.2324,13.6234,9.8622,18.3468,1.376,1.0238,1.2349,0.9157,38.83,-27.846,53.337,4.994436
10,0,27.2279,14.7124,8.8718,18.2437,1.417,1.0269,1.261,0.923,38.86,-29.282,53.412,2.321515
11,0,26.2781,12.9822,10.3996,17.4964,1.4581,1.0296,1.2869,0.9271,38.69,-30.528,53.515,2.785025
12,0,26.6036,13.1771,9.9372,18.0892,1.4998,1.0318,1.3126,0.9196,38.49,-31.671,53.294,2.425607
13,0,25.2479,12.6885,9.5465,17.6129,1.5406,1.0345,1.3385,0.9156,38.73,-33.113,53.184,5.178396
14,0,26.236,13.4035,9.0946,18.3378,1.5812,1.0373,1.3643,0.9209,38.59,-34.407,53.363,7.399677
15,0,27.1305,13.4986,9.7017,18.5302,1.6225,1.0399,1.3905,0.9145,39.0,-36.07,53.106,2.579637
16,0,24.2741,12.9779,8.2435,17.6528,1.6627,1.0431,1.4165,0.9173,38.76,-37.263,53.175,6.344675
17,0,23.4929,12.8866,8.1473,17.059,1.7035,1.0458,1.4426,0.9161,38.84,-38.395,53.074,3.376115
18,0,23.2679,12.1888,8.6852,16.9939,1.7438,1.0491,1.4685,0.9133,38.71,-39.958,53.015,7.881088
19,0,22.6122,11.6683,9.0584,16.4855,1.7842,1.052,1.4941,0.9086,38.46,-41.245,52.98,3.098554
20,0,22.4495,11.8226,8.8033,16.4236,1.8238,1.0555,1.5198,0.9131,38.51,-42.234,53.035,3.126254
