rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
52,0,18.761,10.4073,7.9161,15.2376,3.0072,1.1854,2.3327,0.8881,38.09,-77.606,52.425,2.485777
53,0,16.866,10.022,6.8742,14.7698,3.0418,1.1903,2.3578,0.881,38.03,-78.518,52.304,1.097693
54,0,16.6129,10.026,6.6258,14.761,3.0761,1.1951,2.3826,0.882,37.79,-79.082,52.326,2.662586
55,0,17.0035,10.2438,6.699,14.8607,3.1103,1.2002,2.4076,0.8899,37.92,-79.718,52.461,1.263796
56,0,17.5709,10.7953,6.0748,15.0755,3.1454,1.2047,2.4327,0.8913,38.03,-81.722,52.505,2.661377
57,0,17.3937,10.8243,5.6496,14.8694,3.1802,1.2095,2.4577,0.8931,37.93,-83.259,52.549,1.280338
58,0,17.9405,11.0826,5.8221,15.158,3.2152,1.2141,2.483,0.8956,38.14,-84.456,52.617,2.14955
59,0,17.2721,10.7056,5.9212,14.8666,3.2501,1.2179,2.5081,0.896,38.02,-85.344,52.695,1.118517
60,0,17.1834,10.7056,5.6042,14.7778,3.2849,1.2217,2.533,0.8953,37.83,-86.082,52.701,3.156276
61,0,17.2501,10.7877,5.5065,14.7625,3.3194,1.2256,2.5579,0.8907,37.89,-86.988,52.536,1.35372
62,0,17.1303,10.729,5.6811,14.7014,3.3536,1.2298,2.5827,0.8881,37.75,-87.511,52.515,1.584229
63,0,14.9976,9.6863,5.3083,13.6113,3.3868,1.2339,2.6073,0.8825,37.61,-87.436,52.398,0.43497
64,0,14.2184,9.2201,5.3692,13.2984,3.4197,1.2377,2.6318,0.8828,37.5,-87.374,52.446,0.82154
65,0,14.037,9.1948,5.0636,13.1421,3.4523,1.2419,2.6561,0.8829,37.3,-87.786,52.478,0.570447
66,0,14.0578,9.2211,4.9934,13.1367,3.4852,1.2459,2.6805,0.8831,37.5,-88.95,52.476,32.77418
67,0,14.0101,9.1951,5.0636,13.115,3.5185,1.25,2.7051,0.8831,37.53,-90.318,52.477,7.428152
68,0,13.9698,9.1415,5.0904,13.1283,3.5513,1.2544,2.7293,0.8817,37.31,-91.714,52.435,12.597389
69,0,13.9194,9.122,5.0583,13.0974,3.5843,1.2589,2.7536,0.881,37.35,-92.596,52.433,23.264693
70,0,13.3429,8.7577,5.4382,12.8852,3.617,1.2632,2.778,0.8803,37.36,-93.36,52.403,4.978159
71,0,13.4176,8.7935,5.4382,12.9241,3.6497,1.2677,2.8024,0.8794,37.48,-94.587,52.394,16.719775
72,0,13.3063,8.7039,5.5099,12.9024,3.683,1.2721,2.827,0.8772,37.56,-96.164,52.365,7.590637
