rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1725,0,0.2417,0.5417,3.7948,7.4663,4.9657,0.0,0.4579,0.8537,16.2,23.079,52.213
1726,0,0.3334,0.6334,3.7948,7.5061,4.967,0.0,0.4572,0.8553,16.29,23.027,52.226
1727,0,0.2774,0.5774,3.7948,7.4947,4.9681,0.0,0.4564,0.8535,16.22,22.985,52.215
1728,0,0.2622,0.5622,3.7948,7.483,4.9689,0.0,0.4555,0.853,16.14,23.319,52.176
1729,0,0.3213,0.6213,3.7948,7.4953,4.9698,0.0,0.4547,0.854,16.17,23.442,52.196
1730,0,0.3338,0.6338,3.7948,7.5031,4.9708,0.0,0.4538,0.8528,16.17,23.52,52.187
1731,0,0.3176,0.6176,3.7948,7.4978,4.9717,0.0,0.453,0.8534,16.14,23.596,52.172
1732,0,0.3561,0.6561,3.7948,7.5009,4.9728,0.0,0.4522,0.8563,16.24,23.431,52.229
1733,0,0.3606,0.6606,3.7948,7.5061,4.9739,0.0,0.4514,0.8546,16.18,23.137,52.207
1734,0,0.286,0.586,3.7948,7.4789,4.9752,0.0,0.4506,0.8526,16.23,22.779,52.16
1735,0,0.3308,0.6308,3.7948,7.4876,4.9761,0.0,0.4498,0.853,16.21,22.755,52.188
1736,0,0.3224,0.6224,3.7948,7.4921,4.9771,0.0,0.449,0.853,16.21,23.257,52.188
1737,0,0.3504,0.6504,3.7948,7.5059,4.9779,0.0,0.4482,0.8526,16.19,23.573,52.176
1738,0,0.3467,0.6467,3.7948,7.5019,4.9789,0.0,0.4474,0.8551,16.21,23.356,52.221
1739,0,0.2797,0.5797,3.7948,7.4787,4.9799,0.0,0.4466,0.8544,16.15,23.181,52.201
1740,0,0.2785,0.5785,3.7948,7.4937,4.9809,0.0,0.4457,0.8531,16.17,23.258,52.175
1741,0,0.2851,0.5851,3.7948,7.4894,4.9819,0.0,0.4449,0.8518,16.19,23.321,52.164
1742,0,0.2813,0.5813,3.7948,7.4802,4.9829,0.0,0.444,0.8518,16.15,23.303,52.164
1743,0,0.3657,0.6657,3.7948,7.5119,4.9842,0.0,0.4433,0.8527,16.24,22.916,52.178
1744,0,0.3721,0.6721,3.7948,7.5086,4.9852,0.0,0.4426,0.8535,16.27,22.998,52.198
1745,0,0.301,0.601,3.7948,7.4894,4.9863,0.0,0.4418,0.8546,16.22,23.417,52.2
1746,0,0.3338,0.6338,3.7948,7.503,4.9873,0.0,0.441,0.8555,16.26,23.445,52.238
1747,0,0.3416,0.6416,3.7948,7.5035,4.9886,0.0,0.4404,0.8546,16.35,23.158,52.207
1748,0,0.3321,0.6321,3.7948,7.502,4.9896,0.0,0.4396,0.855,16.2,23.434,52.228
1749,0,0.3241,0.6241,3.7948,7.5109,4.9906,0.0,0.4388,0.8525,16.26,23.591,52.167
1750,0,0.3534,0.6534,3.7948,7.5183,4.9918,0.0,0.4382,0.8538,16.31,23.265,52.22
1751,0,0.3934,0.6934,3.7948,7.5194,4.993,0.0,0.4374,0.8536,16.27,22.867,52.204
