rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
52,0,19.8141,10.0854,7.0156,14.8331,3.0316,1.5064,2.3309,0.8836,37.99,-80.71,52.359,2.904601
53,0,18.6409,10.1008,6.1349,14.5252,3.0667,1.5172,2.356,0.8848,37.95,-81.687,52.355,1.083337
54,0,18.5737,10.2304,5.8553,14.608,3.1016,1.5277,2.3807,0.8834,37.71,-82.348,52.339,2.80201
55,0,18.2614,10.0778,5.8235,14.4801,3.1363,1.5386,2.4056,0.88,37.89,-83.164,52.358,1.378985
56,0,18.6329,10.507,5.5528,14.6931,3.172,1.5489,2.4307,0.8827,37.95,-85.262,52.398,2.211432
57,0,17.9788,10.4909,5.1119,14.4961,3.2072,1.5596,2.4556,0.8814,37.84,-86.729,52.374,1.244428
58,0,18.6563,10.658,5.3913,14.727,3.2427,1.5702,2.4807,0.8864,38.07,-87.935,52.45,2.472113
59,0,18.7907,10.5255,5.5769,14.8083,3.2779,1.5799,2.5057,0.8866,37.94,-88.782,52.49,0.683636
60,0,18.7821,10.6069,5.461,14.8342,3.3129,1.5897,2.5305,0.886,37.72,-89.317,52.496,0.580569
61,0,18.4084,10.4705,5.345,14.7129,3.3475,1.5999,2.5553,0.8852,37.81,-90.288,52.526,5.304168
62,0,18.433,10.3858,5.5336,14.6336,3.3822,1.6104,2.5801,0.8842,37.76,-91.217,52.492,4.572091
63,0,18.3205,10.2485,5.6502,14.5419,3.4166,1.6204,2.6048,0.8839,37.68,-91.923,52.476,2.478483
64,0,17.9703,10.1377,5.568,14.3846,3.4513,1.6303,2.6296,0.884,37.73,-93.084,52.472,4.235358
65,0,16.7227,9.5165,5.4848,13.8415,3.4854,1.6406,2.6542,0.883,37.6,-94.159,52.48,2.340079
66,0,17.0117,9.5477,5.5961,13.9879,3.5198,1.6509,2.6789,0.8835,37.73,-95.309,52.467,4.283642
67,0,16.2292,9.1545,5.5246,13.6701,3.5542,1.661,2.7036,0.875,37.65,-96.381,52.38,1.853091
68,0,16.2858,9.2865,5.3883,13.731,3.5883,1.6715,2.728,0.8796,37.43,-97.502,52.405,3.625011
69,0,16.128,9.0745,5.4963,13.6772,3.6222,1.6824,2.7525,0.8763,37.51,-98.552,52.403,2.340232
70,0,16.4451,9.2421,5.4963,13.8268,3.6562,1.693,2.7771,0.8787,37.6,-99.529,52.406,3.792723
71,0,15.8395,9.1468,5.1904,13.6223,3.6899,1.7038,2.8018,0.8743,37.65,-100.757,52.362,1.66285
72,0,15.7415,9.0949,5.1577,13.609,3.7241,1.7146,2.8265,0.8711,37.75,-102.183,52.277,2.775583
73,0,14.1186,8.0752,5.2539,12.9095,3.757,1.7255,2.8508,0.868,37.36,-102.487,52.235,1.588243
74,0,14.1145,7.9708,5.461,12.8027,3.7905,1.7361,2.8753,0.8675,37.46,-102.832,52.217,4.851036
75,0,12.9073,7.381,5.1583,12.488,3.8236,1.7468,2.8995,0.8727,37.34,-103.988,52.261,1.226815
76,0,13.5903,7.4735,5.6094,12.6275,3.8568,1.758,2.9241,0.8738,37.59,-105.194,52.332,3.002872
77,0,12.8283,7.3911,5.1203,12.4369,3.8898,1.7687,2.9483,0.8746,37.19,-106.081,52.289,3.417234
78,0,12.8931,7.3776,5.1962,12.4393,3.923,1.7793,2.9725,0.8733,37.31,-106.793,52.271,9.728311
79,0,12.2877,6.5448,5.9848,11.878,3.956,1.7894,2.9964,0.8722,36.98,-107.561,52.33,1.39649
80,0,12.9542,6.9645,6.0141,12.0956,3.9889,1.8,3.0208,0.8744,37.4,-108.651,52.37,1.825628
