lagrangian/avg_J_D,eval/feasible,lagrangian/avg_J_P,rollout/ep_rew_mean,tiles/enhancement_freq_max,eval/J_Q,lagrangian/mu_P,time/time_elapsed,lagrangian/mu_D,eval/mean_coverage,eval/mean_psnr_db,time/total_timesteps,eval/mean_stall_sec,eval/mean_power_mw,tiles/enhancement_freq_std,eval/mean_n_tiles,physical/mean_n_enhanced_tiles,eval/J_D,lagrangian/avg_J_B,time/iterations,eval/J_B,physical/mean_coverage,eval/violation,time/fps,rollout/ep_len_mean,physical/mean_stall_seconds,eval/J_P,lagrangian/mu_B,lagrangian/n_episodes,physical/mean_power_mW,train/explained_variance,train/n_updates,train/pds_value_loss,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl
16.835226819252274,0.0,7.572584222061994,-17.485188458333333,0.8391203703703703,27.66772723860667,1.002681460555155,12,1.0418380670481306,0.9114484763064148,53.15757227177087,1728,0.4864843328307806,34.72222222222222,0.11795318440941768,39.4537037037037,38.964699074074076,14.697784194099833,18.48514107796508,1,18.714202729488058,0.9265257694033097,29.396336173096156,134,36.0,0.5541977422415153,10.584349249508264,1.0262128526949128,48,24.920428240740723,,,,,,,,,,,
16.939783687786942,0.0,7.545143589486252,-18.203259895833337,0.8506944444444444,28.09959073420899,1.0052943195288706,24,1.083937526267598,0.9247575488649362,53.333822481324425,3456,0.46387423042662235,25.462962962962962,0.1206531189120362,38.87962962962963,38.8431712962963,14.102219954533277,18.429193357112897,2,18.452351041631008,0.9277278638412894,25.728787171573778,139,36.0,0.5575763244300828,7.774216175409492,1.052285836087695,48,24.891493055555515,-0.0006874799728393555,10,0.051549906649247364,-0.03967149816625924,0.23859953703703704,-45.95183467158565,31.928831100463867,0.0003,113.20324048642759,0.2,0.022091648
16.809633825500885,0.0,7.574954935599966,-19.57797783,0.8350694444444444,27.957943213246722,1.0079817068678705,36,1.1257116108313503,0.9201228020449034,53.21429281620566,5184,0.47881864080413655,25.694444444444446,0.11874207763596173,38.166666666666664,38.958333333333336,14.561684599802375,18.48385457136773,3,18.113953805668086,0.923648727183103,25.88187655106508,141,36.0,0.5536656854459678,7.80623814559462,1.0784954725161142,48,24.927662037037006,-0.03633308410644531,20,5.424935421016481,-0.019172163975114623,0.05260416666666667,-45.94046595538104,1232.3720703125,0.0003,2604.2405702944156,0.2,0.010459118
16.85422122736258,0.0,7.564639453318681,-20.9859442,0.828125,27.94626889227506,1.0106433055011672,48,1.1675971638997567,0.9193309934034287,53.16835386721805,6912,0.4572808226262681,28.356481481481485,0.11449705701184092,37.96296296296296,38.84722222222222,13.924956491971054,18.432080879663875,4,18.010263583183676,0.924015385633379,25.9533835539643,142,36.0,0.5538517814877727,8.618163478809569,1.104575674715274,48,24.95659722222222,-0.014635086059570312,30,8.89554773789865,-0.028075633544681802,0.09027777777777778,-45.92702169065122,2241.626220703125,0.0003,5307.921248372396,0.2,0.011668503
16.680516014309664,0.0,7.807393422765561,-22.560852089999997,0.8368055555555556,27.821065880687495,1.013911789058081,60,1.2090484539355308,0.9162577904687205,53.172151630669596,8640,0.43496246094144086,27.199074074074076,0.11375887007110888,38.416666666666664,38.88425925925926,13.19317042323086,18.448838088310346,5,18.214661672916638,0.9221113231563183,25.077329262580474,143,36.0,0.5496726372005785,8.269497166432975,1.1306977699360499,48,25.701678240740733,-0.008141517639160156,40,2.597017546274044,-0.02980177564960387,0.12743055555555555,-45.9094644052011,1221.3878173828125,0.0003,2419.860920319734,0.2,0.017496124
16.95703082096452,0.0,7.396949996852065,-23.825379830000003,0.8564814814814815,27.995062930407983,1.0161541640502112,72,1.2511910309879422,0.9218486109494273,53.482451213368755,10368,0.5357047177705346,22.337962962962962,0.12172365868799734,38.59259259259259,38.745949074074076,16.330257495021762,18.38624761191738,6,18.30047135558716,0.9284755620603825,26.76762701520261,143,36.0,0.5581413720973151,6.736898164593691,1.1566633889658433,48,24.370659722222243,-0.007999062538146973,50,6.037471972571479,-0.03590874067611165,0.18003472222222222,-45.88626603020562,2045.8857421875,0.0003,3749.590936053241,0.2,0.019569166
16.767314278513762,0.0,7.527266175473547,-24.96979254,0.8686342592592593,27.698414707459268,1.018722329488895,84,1.2928593166842266,0.9120722405736214,53.04795678679165,12096,0.4351719592097352,30.555555555555557,0.12244548847503146,38.35185185185185,38.89988425925926,13.21311141369677,18.460381558324777,7,18.19416209760234,0.9322039670008267,26.09298656665173,143,36.0,0.5527306425209778,9.285713055352618,1.1828143428616553,48,24.7612847222222,-0.014363884925842285,60,3.2664700742121098,-0.027652485282332807,0.16087962962962962,-45.87201533847385,691.6268310546875,0.0003,1705.934319390191,0.2,0.020011064
16.639362350761534,0.0,7.5840398786037255,-26.42972196,0.8559027777777778,27.84765143115288,1.0214324291854042,95,1.3342077225611304,0.9165541108877973,53.24665782169984,13824,0.4361298968808347,28.35648148148148,0.11674270954935426,37.666666666666664,38.789351851851855,13.248364111908685,18.410899637812367,8,17.874973744222345,0.9223914636891208,25.110758354049167,144,36.0,0.5472861333414715,8.587420497918139,1.2088415919561863,48,25.028935185185194,-0.006550908088684082,70,6.695213944823654,-0.03748097875396963,0.2263888888888889,-45.84978171454536,1598.621826171875,0.0003,3438.836382378472,0.2,0.023724353
16.79762087111816,0.0,7.440693584625904,-27.846412270000002,0.8165509259259259,27.808253300452225,1.023784163146969,107,1.3759517747389258,0.9157185744982614,53.33653536714372,15552,0.44867493955226506,32.52314814814815,0.11243767537461521,38.69444444444445,38.83449074074074,13.623433473252689,18.424822957986716,9,18.34677217442149,0.9261860915454034,27.232378667889652,144,36.0,0.5526633609214405,9.862173020215474,1.2349036493511532,48,24.558738425925956,-0.04074525833129883,80,4.994435885217455,-0.03831173794826975,0.2529513888888889,-45.829302370989765,646.4917602539062,0.0003,1385.5242924442998,0.2,0.033228308
16.53260580038116,0.0,7.735066434562294,-29.281704859999994,0.8570601851851852,28.03249663811394,1.0268718292333747,119,1.4170332892398787,0.9229934581975101,53.41224315729636,17280,0.48241801112231103,29.513888888888886,0.11700692307536914,38.43518518518519,38.85590277777778,14.712407068615335,18.439543859287728,10,18.243693730316195,0.9201436915270332,27.227949714653313,144,36.0,0.5435580047150622,8.871848915721783,1.2610025089993724,48,25.484664351851887,-0.0043849945068359375,90,2.3215148281168054,-0.039165390010371254,0.2644097222222222,-45.81543129814996,1097.5101318359375,0.0003,2338.8206452546297,0.2,0.024522366
