rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
936,0,0.2105,0.2715,4.059,7.3002,2.8907,0.6575,1.9258,0.8449,15.77,10.188,52.059
937,0,0.1818,0.3018,3.9815,7.3116,2.8911,0.6576,1.9259,0.844,15.72,10.643,52.011
938,0,0.2123,0.3323,3.9797,7.3197,2.8918,0.6576,1.9261,0.8435,15.75,10.769,52.004
939,0,0.2256,0.3456,3.9381,7.3169,2.8926,0.6576,1.9263,0.8444,15.83,10.184,51.997
940,0,0.2423,0.3623,3.8964,7.3288,2.8931,0.6575,1.9264,0.8428,15.75,10.397,51.999
941,0,0.2148,0.3348,3.9381,7.2999,2.8939,0.6574,1.9265,0.8423,15.72,10.372,51.998
942,0,0.2264,0.3464,3.8964,7.2967,2.8946,0.6573,1.9267,0.8428,15.8,10.244,52.005
943,0,0.2109,0.3309,3.8964,7.2911,2.8952,0.6572,1.9268,0.8425,15.7,10.299,51.999
944,0,0.2271,0.3471,3.9381,7.3068,2.8959,0.6572,1.927,0.8426,15.77,10.05,52.007
945,0,0.2191,0.3391,3.8964,7.2928,2.8966,0.6572,1.9271,0.8416,15.73,9.879,51.974
946,0,0.2268,0.3468,3.8964,7.2998,2.8974,0.657,1.9273,0.8433,15.82,9.981,52.008
947,0,0.2117,0.3317,3.8964,7.2964,2.8982,0.6569,1.9274,0.8436,15.7,10.13,52.003
948,0,0.2283,0.3483,3.8964,7.2884,2.8989,0.6568,1.9275,0.8441,15.72,10.244,52.027
949,0,0.2419,0.3619,3.8964,7.2916,2.8998,0.6567,1.9276,0.844,15.75,9.931,52.026
950,0,0.2708,0.3908,3.8964,7.2999,2.9004,0.6566,1.9277,0.8448,15.71,10.124,52.04
951,0,0.2554,0.3754,3.8627,7.303,2.901,0.6564,1.9279,0.8441,15.79,10.445,52.012
952,0,0.2637,0.3837,3.8321,7.2862,2.9021,0.6563,1.9281,0.8426,15.78,10.005,52.015
953,0,0.2349,0.3549,3.7948,7.2747,2.9028,0.6561,1.9283,0.8414,15.83,9.717,51.958
954,0,0.2559,0.3759,3.8253,7.2967,2.9037,0.656,1.9285,0.8445,15.8,9.863,51.975
955,0,0.2751,0.3951,3.8321,7.2823,2.9044,0.6559,1.9288,0.843,15.82,10.103,52.027
956,0,0.2864,0.4064,3.8321,7.2838,2.9052,0.6557,1.9289,0.8437,15.72,9.976,52.052
957,0,0.2966,0.4166,3.8738,7.2969,2.906,0.6556,1.9291,0.8438,15.79,9.836,51.98
958,0,0.288,0.408,3.8286,7.2999,2.9068,0.6555,1.9292,0.8438,15.77,9.749,52.014
959,0,0.2978,0.4178,3.9381,7.3195,2.9076,0.6554,1.9294,0.8459,15.8,9.732,52.085
960,0,0.2886,0.4086,3.9381,7.3095,2.9086,0.6553,1.9296,0.8446,15.73,9.583,52.047
961,0,0.3162,0.4362,3.8591,7.3268,2.9093,0.6552,1.9298,0.8456,15.79,9.804,52.04
962,0,0.3243,0.4443,3.867,7.3181,2.9099,0.6551,1.9299,0.8453,15.73,10.259,52.037
963,0,0.3119,0.4319,3.867,7.3105,2.9108,0.655,1.93,0.8456,15.75,10.142,52.063
964,0,0.2985,0.4185,3.9008,7.3055,2.9115,0.6548,1.9303,0.8439,15.87,9.873,52.023
965,0,0.3002,0.4202,3.867,7.3086,2.9124,0.6547,1.9305,0.8478,15.77,9.802,52.047
