lagrangian/avg_J_B,eval/J_B,eval/J_P,eval/mean_coverage,eval/mean_n_tiles,time/total_timesteps,physical/mean_stall_seconds,lagrangian/mu_P,lagrangian/avg_J_D,tiles/enhancement_freq_max,eval/mean_stall_sec,physical/mean_n_enhanced_tiles,tiles/enhancement_freq_std,lagrangian/mu_D,eval/mean_psnr_db,time/iterations,lagrangian/avg_J_P,lagrangian/n_episodes,physical/mean_coverage,eval/feasible,physical/mean_power_mW,time/time_elapsed,rollout/ep_rew_mean,eval/violation,rollout/ep_len_mean,eval/J_Q,lagrangian/mu_B,eval/mean_power_mw,eval/J_D,time/fps,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/pds_value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range
18.48514107796508,18.714202729488058,10.584349249508264,0.9114484763064148,39.4537037037037,1728,0.5541977422415153,1.008931460555155,16.835226819252274,0.8391203703703703,0.4864843328307806,38.964699074074076,0.11795318440941768,1.0417880670481308,53.15757227177087,1,7.572584222061994,48,0.9265257694033097,0.0,24.920428240740723,12,-17.485188458333333,32.47633617309616,36.0,27.66772723860667,1.0277128526949126,34.72222222222222,14.697784194099833,135,,,,,,,,,,,
18.429193357112897,18.452351041631008,7.774216175409492,0.9247575488649362,38.87962962962963,3456,0.5575763244300828,1.0177943195288706,16.939783687786942,0.8506944444444444,0.46387423042662235,38.8431712962963,0.1206531189120362,1.083837526267598,53.333822481324425,2,7.545143589486252,48,0.9277278638412894,0.0,24.891493055555515,20,-18.24714796875,28.808787171573776,36.0,28.09959073420899,1.0552858360876949,25.462962962962962,14.102219954533277,171,0.022091648,31.928831100463867,-0.0006874799728393555,-45.95183467158565,0.051549906649247364,10,-0.03967149816625924,0.23859953703703704,0.0003,113.20324048642759,0.2
18.486679282253974,18.147534695733583,7.80623814559462,0.9211397769518511,38.24074074074074,5184,0.5537454205041159,1.026720675565382,16.812085569174922,0.8350694444444444,0.47990120486128784,38.964120370370374,0.11871829894199276,1.1255677401905355,53.2516728187004,3,7.570542414604514,48,0.9236498656017951,0.0,24.913194444444414,27,-19.70513171,29.0258901151701,36.0,27.986143438651922,1.0830025342933298,25.694444444444446,14.592117273841898,189,0.010490917,1231.0250244140625,-0.03635454177856445,-45.94044542665835,5.424609501935818,20,-0.01915689234069928,0.052835648148148145,0.0003,2601.514565700955,0.2
18.431485748809553,18.013456935221893,8.211151603289087,0.9180852682421632,37.97222222222222,6912,0.55387683762539,1.0356228343505542,16.85502864104092,0.828125,0.4598216838468782,38.845486111111114,0.11448705026630851,1.1674053117931378,53.139513053631994,4,7.560863514068902,48,0.9240146320645816,0.0,24.94212962962963,34,-21.198517860000003,28.704186134526715,36.0,27.909225933890372,1.1105812486653537,26.967592592592595,13.999577596015738,199,0.011648788,2245.0859375,-0.01461482048034668,-45.92703016775626,8.894746983492816,30,-0.027954915685027285,0.08987268518518518,0.0003,5315.940861906829,0.2
18.452499902566128,18.235941508589917,8.35095023316813,0.9180028948047051,38.47222222222222,8640,0.5497461517694961,1.0451157652238172,16.68274054155284,0.8368055555555556,0.4352683687159848,38.891782407407405,0.11353969526896393,1.20881216314702,53.23575619522535,5,7.797172349305193,48,0.9220665390575152,0.0,25.665509259259245,42,-22.86228712,28.264840106610507,36.0,27.880695796963696,1.138212498421769,27.430555555555557,13.19794836485246,205,0.017435566,1217.379638671875,-0.008154511451721191,-45.90979512532552,2.594508926956742,40,-0.02983981929374514,0.1259259259259259,0.0003,2412.0299397786457,0.2
18.390769214081953,18.38064849335362,6.219785278617617,0.9199054982033402,38.75,10368,0.5579974115337835,1.0536093401852171,16.95229956464757,0.8559027777777778,0.5447379915257067,38.75578703703704,0.12162456526783255,1.2508929120586387,53.38625329361283,6,7.397429984559967,48,0.9285305477389492,0.0,24.37065972222224,49,-24.211794480000002,29.665278671280767,36.0,27.933443146865642,1.1656894214569737,20.60185185185185,16.584844899309534,210,0.019420722,2053.7724609375,-0.007961511611938477,-45.88668231257686,6.036776640680102,50,-0.03582860438360108,0.18113425925925927,0.0003,3762.7754575376157,0.2
18.459023425711695,18.314407583041223,9.293502003412266,0.9157796809008566,38.60185185185185,12096,0.5536306933580901,1.0623595586833057,16.795843556222895,0.8697916666666666,0.4396265034269054,38.89699074074074,0.12244757348692711,1.292582520949196,53.21029712887665,7,7.5000873992353805,48,0.9323111439693804,0.0,24.67447916666665,56,-25.44571471,29.43797772663023,36.0,27.809696794417615,1.193336980021253,30.555555555555554,13.35006814017674,214,0.02039109,687.050537109375,-0.014440774917602539,-45.872860505845814,3.2748608739287763,60,-0.027651137110121824,0.1587962962962963,0.0003,1695.3740130389178,0.2
18.40359167570615,17.866885118186165,8.476746790702565,0.9132723255165242,37.648148148148145,13824,0.5478651172645389,1.0712638173496645,16.657823476758008,0.8559027777777778,0.43727609837011977,38.77430555555556,0.11674386794297556,1.333927079641091,53.203040505310696,8,7.5617034665434915,48,0.9222365084943802,0.0,24.956597222222236,63,-26.99406965,28.10878713058146,36.0,27.758480929206353,1.2208459592105183,28.009259259259263,13.285155221692733,216,0.022349732,1607.7060546875,-0.006512641906738281,-45.851228389033565,6.681850600242615,70,-0.037079069247745254,0.22025462962962963,0.0003,3457.0377992983217,0.2
18.436341536299018,18.460486488609032,9.195526321434336,0.9235103715463197,38.90740740740741,15552,0.5527163721523005,1.079909929936739,16.797773888708665,0.8165509259259259,0.4580266212058561,38.85706018518518,0.1122547150640062,1.3756215143628625,53.519883562357556,9,7.458445034829778,48,0.9260613286730146,0.0,24.60937500000003,71,-28.51538841,30.05161693966864,36.0,28.046674367275504,1.2484368130512657,30.324074074074076,13.91560412962527,218,0.03292328,639.6265258789062,-0.04096877574920654,-45.83116101865415,5.016575996964066,80,-0.03778711212798953,0.25688657407407406,0.0003,1371.4925939489294,0.2
18.435041275584794,18.212034254465067,8.183999585556084,0.9223501621432445,38.388888888888886,17280,0.5435694800868247,1.0892281649041453,16.532122336067044,0.8582175925925926,0.49174448931218556,38.845486111111114,0.11729299247538955,1.41665182020303,53.41301272337336,10,7.727293986962557,48,0.9203012941877162,0.0,25.4557291666667,78,-30.03468717,29.854593343916,36.0,28.022101153100824,1.2760244162402277,27.083333333333332,14.97855950389485,220,0.025512733,1107.7008056640625,-0.004399657249450684,-45.81389725296586,2.330083057615492,90,-0.039954794753618815,0.27037037037037037,0.0003,2357.0104261610245,0.2
18.34618461283656,17.42154540527562,9.718848538506313,0.9302381060430704,36.71296296296296,19008,0.5451828014827429,1.098215678516,16.556027788725658,0.8535879629629629,0.4318647206011131,38.661458333333336,0.11923586780703177,1.4577418896748442,53.680263722320746,11,7.595005444741896,48,0.9265848162271636,0.0,25.021701388888843,85,-31.35039911,28.730307865375423,36.0,28.2787170173233,1.303389877772319,32.06018518518518,13.10991392159349,222,0.035911996,310.2137451171875,-0.021247506141662598,-45.79462608054832,2.7876942934813322,100,-0.03513885079710572,0.2982060185185185,0.0003,661.5636267768012,0.2
18.25366133836825,18.07933300368141,9.940353229894418,0.933503749246826,38.101851851851855,20736,0.5533274682403618,1.106573048121121,16.79961904181361,0.8287037037037037,0.44005475725283133,38.48148148148148,0.11466285922818825,1.4994409372793782,53.722350459400765,12,7.342947842048318,48,0.9303187375595882,0.0,24.18981481481481,92,-32.587170809999996,29.857620346888197,36.0,28.360249144415082,1.3305240311182396,32.754629629629626,13.357934113312373,223,0.023427727,748.796142578125,-0.01050722599029541,-45.78935012817383,2.4803796348748386,110,-0.03652151216649347,0.2404513888888889,0.0003,1949.6822328920719,0.2
18.357128052849315,17.704054147368307,9.305930729195522,0.9208840776917366,37.370370370370374,22464,0.5411080075952908,1.1154869951882778,16.443577049582007,0.8483796296296297,0.42564769868597013,38.701388888888886,0.11467531153893434,1.5402498799033333,53.39646755622598,13,7.565578826862762,48,0.9185092758277085,0.0,24.971064814814845,100,-34.10688949,28.384038183756857,36.0,27.956404999871825,1.3579168512503628,30.671296296296294,12.894053307193031,224,0.034881655,246.5866241455078,-0.04976832866668701,-45.771074379815,5.1589068412780765,120,-0.03940937249334874,0.28888888888888886,0.0003,549.3269550464771,0.2
18.31613115497321,18.084757261043823,9.462113786991734,0.9250317189164982,38.175925925925924,24192,0.5398032334666146,1.1244689693736587,16.368665533244158,0.8385416666666666,0.4360933285448483,38.601273148148145,0.11391576720019485,1.5808715437364438,53.55416028232997,14,7.592789674152416,48,0.9233082514386185,0.0,24.963831018518526,107,-35.52948459,29.239748944196073,36.0,28.067976641839675,1.3852071791377958,31.25,13.212877896160515,225,0.025822015,1177.639892578125,-0.0038099288940429688,-45.757322000574185,7.508357090420193,130,-0.03603186072367761,0.20966435185185187,0.0003,2518.977339228877,0.2
18.480211368313732,17.934629634104354,10.040141398272722,0.9172179069910115,37.84259259259259,25920,0.5487540347429215,1.1332456984051786,16.689466010385043,0.8489583333333334,0.42351415453619534,38.94039351851852,0.11817015105129236,1.6222952087624063,53.279315612275674,15,7.510691612607961,48,0.920379026932302,0.0,24.761284722222243,114,-37.28224191,29.28699644547507,36.0,27.84020713969981,1.41290770755858,32.98611111111111,12.832225413097992,226,0.03265684,243.4799346923828,-0.017197012901306152,-45.762479598433885,2.5914953615930347,140,-0.03529942118114343,0.27881944444444445,0.0003,519.5629232901114,0.2
18.389260443140678,17.425332653300487,8.785783332726902,0.9170475192646731,36.76851851851852,27648,0.5327002259146929,1.1427090827363533,16.17930572457851,0.8547453703703703,0.4230299201949674,38.760416666666664,0.12250288128264297,1.6624434730738527,53.17970986306651,16,7.7853537324698925,48,0.9318841682133139,0.0,25.643807870370384,121,-38.546218100000004,27.506134321133842,36.0,27.827258681710784,1.4403808586664317,28.93518518518519,12.81501833510645,226,0.023850666,1018.8792114257812,-0.0031671524047851562,-45.751223217999495,6.360859043509872,150,-0.03854823530548149,0.21053240740740742,0.0003,2000.0050039785879,0.2
18.423042545478683,17.28191196194633,8.579089415603482,0.9175594596250494,36.47222222222222,29376,0.5412353411148604,1.1515967469298107,16.444799870479695,0.8813657407407407,0.41397374147702276,38.822916666666664,0.12671102439702336,1.703255472750052,53.19275691584181,17,7.555065677382996,48,0.926573924547795,0.0,24.90596064814819,129,-39.75382581,26.886850669380053,36.0,27.854389962997672,1.4679384650301284,28.240740740740744,12.545849291830242,227,0.03460474,166.18963623046875,-0.055909037590026855,-45.749640768545646,3.3762503853550663,160,-0.038103405186147604,0.2886574074074074,0.0003,411.181601856373,0.2
18.356458698872455,16.71278561579067,8.724461315481712,0.9123872080721626,35.25925925925926,31104,0.5349096601272862,1.1611985802241895,16.261422150958463,0.8321759259259259,0.39486606113114303,38.704282407407405,0.11859642983248729,1.7436090281274481,53.180307644552364,18,7.840733317751517,48,0.9174712837367633,0.0,25.81018518518518,136,-41.428777929999995,25.88641639204073,36.0,27.69062784883901,1.4953296117773096,28.703703703703706,11.96916946076835,227,0.019607402,1099.420654296875,-0.01517033576965332,-45.735504644888415,7.930275710423787,170,-0.03420857434954356,0.17806712962962962,0.0003,2311.859787778501,0.2
18.2564423630263,16.586114664128228,9.034275973413271,0.9140175496024677,34.9537037037037,32832,0.5369947937310987,1.1702863568829651,16.293097065874903,0.8188657407407407,0.39400381519657796,38.46238425925926,0.11218388999301947,1.7840417707921354,53.2031396407124,19,7.635110663510218,48,0.9230970918498023,0.0,25.122974537037084,143,-42.84742326000001,26.063905492638064,36.0,27.747547850227992,1.5224707176848753,29.74537037037037,11.963514855096564,228,0.04496992,157.24325561523438,-0.05228149890899658,-45.717671175356266,3.082282857541685,180,-0.04849807129465734,0.3291087962962963,0.0003,396.67835727267794,0.2
18.250805122943447,16.542671832223174,8.604399346773285,0.9171600916846261,34.861111111111114,34560,0.524614924607481,1.1799838731005703,15.959299353635272,0.8663194444444444,0.39862831595696785,38.46643518518518,0.11741949837903025,1.8236400191762236,53.223525877554415,20,7.87900648704204,48,0.9207877520188404,0.0,25.991030092592613,151,-43.88678522,25.714965111824334,36.0,27.837732763487036,1.549597730492234,28.240740740740744,12.087893932827876,228,0.022811197,855.7110595703125,0.012075483798980713,-45.702704648618344,3.178632518538722,190,-0.03909584517004313,0.2245949074074074,0.0003,1600.3731825086807,0.2
18.20296519824546,16.799515648316774,8.963461752956723,0.9129736132436107,35.44444444444445,36288,0.5356941612537314,1.1890497315065152,16.266589162262886,0.8524305555555556,0.39988767660759184,38.35243055555556,0.11845623570588186,1.8640064920818809,53.01770304546904,21,7.626343362377988,48,0.9254875550686329,0.0,25.12297453703709,158,-45.171185539999996,26.351233027066904,36.0,27.711413816571284,1.5766051434878476,29.513888888888896,12.10825562579341,229,0.039001018,152.525634765625,-0.07795560359954834,-45.6926688865379,5.068517936600579,200,-0.03867663315117911,0.2920138888888889,0.0003,342.35738875777633,0.2
18.32013671175791,16.282265522605787,9.029255097384036,0.9128067053464868,34.34259259259259,38016,0.5335387783410415,1.1990225296307246,16.241100783687276,0.8547453703703703,0.3908333177893141,38.597800925925924,0.11897489959976709,1.9043092440410991,53.05259379330557,22,7.989119249683804,48,0.920097524880564,0.0,26.316550925925938,165,-46.952950300000005,25.632462213082782,36.0,27.70845549919743,1.6039054852672425,29.629629629629633,11.840941593092959,229,0.018338308,1270.32080078125,-0.0072242021560668945,-45.69522933959961,4.799255776405334,210,-0.031990281251017695,0.15590277777777778,0.0003,2327.02724609375,0.2
18.223011403086392,16.012960212422858,9.66383226395067,0.9194695913607626,33.77777777777778,39744,0.5357416714751124,1.2083706017991247,16.284863244369955,0.8680555555555556,0.38845013547477963,38.398726851851855,0.12244553388159343,1.944721402152024,53.24407895201307,23,7.73922886736005,48,0.9306300828034665,0.0,25.448495370370434,172,-48.33560867,25.931048297400622,36.0,27.939375314089748,1.6309630137749584,31.828703703703706,11.774255821027092,229,0.03741217,141.5125274658203,-0.05504870414733887,-45.67699115894459,3.9382176708292076,220,-0.04146467251013274,0.2991898148148148,0.0003,313.5490515814887,0.2
18.271647479022995,15.960154253926751,9.205241987850705,0.9165696701659646,33.657407407407405,41472,0.5262233123461809,1.2179532321005733,15.983983398118307,0.8744212962962963,0.38759639173509614,38.504050925925924,0.12313322147030865,1.9843813606473197,52.986549159980235,24,7.833052120579434,48,0.9230665992404867,0.0,25.802951388888967,180,-49.454319209999994,25.397576292416453,36.0,27.841710922339093,1.6581421324725159,30.324074074074076,11.752180050638996,230,0.01996167,837.58837890625,-0.0038492679595947266,-45.69652466950593,2.7100278902936865,230,-0.03395528303355806,0.16649305555555555,0.0003,1891.7774291992187,0.2
